date,municipality,total_cases,active_cases,new_cases
5/14/2020,Yonkers,6576,469,11
5/14/2020,Yorktown,567,28,1
5/14/2020,Totals,25226,2004,34
5/14/2020,Unknown,1484,NA,NA
5/18/2020,Ardsley,90,6,0
5/18/2020,Bedford,232,14,1
5/18/2020,Briarcliff Manor,88,7,0
5/18/2020,Bronxville,62,1,0
5/18/2020,Buchanan,34,2,0
5/18/2020,Cortlandt,752,58,4
5/18/2020,Croton-on-Hudson,163,11,1
5/18/2020,Dobbs Ferry,293,39,0
5/18/2020,Eastchester,441,27,0
5/18/2020,Elmsford,195,23,0
5/18/2020,Greenburgh,1091,58,1
5/18/2020,Harrison,384,26,1
5/18/2020,Hastings-on-Hudson,112,2,0
5/18/2020,Irvington,77,1,0
5/18/2020,Larchmont,64,3,0
5/18/2020,Lewisboro,95,10,0
5/18/2020,Mamaroneck Town,166,6,0
5/18/2020,Mamaroneck Village,376,21,2
5/18/2020,Mount Kisco,266,36,4
5/18/2020,Mount Pleasant,547,19,2
5/18/2020,Mount Vernon,2591,152,5
5/18/2020,New Castle,174,9,3
5/18/2020,New Rochelle,2832,177,8
5/18/2020,North Castle,190,7,0
5/18/2020,North Salem,118,14,0
5/18/2020,Ossining Town,147,8,1
5/18/2020,Ossining Village,1002,73,2
5/18/2020,Peekskill,861,120,8
5/18/2020,Pelham,162,5,0
5/18/2020,Pelham Manor,102,1,0
5/18/2020,Pleasantville,114,7,1
5/18/2020,Port Chester,1163,130,2
5/18/2020,Pound Ridge,26,1,0
5/18/2020,Rye Brook,174,13,1
5/18/2020,Rye City,186,9,1
5/18/2020,Scarsdale,348,5,0
5/18/2020,Sleepy Hollow,362,29,0
5/18/2020,Somers,263,54,30
5/18/2020,Tarrytown,269,14,1
5/18/2020,Tuckahoe,128,2,0
5/18/2020,White Plains,1711,120,6
5/18/2020,Yonkers,6659,362,7
5/18/2020,Yorktown,583,35,2
5/18/2020,Totals,25693,1717,91
5/18/2020,Unknown,1526,NA,NA
5/19/2020,Ardsley,91,7,1
5/19/2020,Bedford,232,14,0
5/19/2020,Briarcliff Manor,90,8,2
5/19/2020,Bronxville,62,0,0
5/19/2020,Buchanan,34,2,0
5/19/2020,Cortlandt,764,63,12
5/19/2020,Croton-on-Hudson,165,10,2
5/19/2020,Dobbs Ferry,293,36,0
5/19/2020,Eastchester,443,23,2
5/19/2020,Elmsford,196,21,1
5/19/2020,Greenburgh,1094,46,3
5/19/2020,Harrison,385,27,1
5/19/2020,Hastings-on-Hudson,114,4,2
5/19/2020,Irvington,78,2,1
5/19/2020,Larchmont,64,3,0
5/19/2020,Lewisboro,95,3,0
5/19/2020,Mamaroneck Town,166,6,0
