date,municipality,total_cases,active_cases,new_cases
2020-05-19,Briarcliff Manor,90,8,2
2020-05-19,Bronxville,62,0,0
2020-05-19,Buchanan,34,2,0
2020-05-19,Cortlandt,764,63,12
2020-05-19,Croton-on-Hudson,165,10,2
2020-05-19,Dobbs Ferry,293,36,0
2020-05-19,Eastchester,443,23,2
2020-05-19,Elmsford,196,21,1
2020-05-19,Greenburgh,1094,46,3
2020-05-19,Harrison,385,27,1
2020-05-19,Hastings-on-Hudson,114,4,2
2020-05-19,Irvington,78,2,1
2020-05-19,Larchmont,64,3,0
2020-05-19,Lewisboro,95,3,0
2020-05-19,Mamaroneck Town =,166,6,0
2020-05-19,Mamaroneck Village,376,18,0
2020-05-19,Mount Kisco,271,35,5
2020-05-19,Mount Pleasant,552,21,5
2020-05-19,Mount Vernon,2606,142,15
2020-05-19,New Castle,174,9,0
2020-05-19,New Rochelle,2844,175,12
2020-05-19,North Castle,192,8,2
2020-05-19,North Salem,118,14,0
2020-05-19,Ossining Town,148,7,1
2020-05-19,Ossining Village,1013,66,11
2020-05-19,Peekskill,869,108,8
2020-05-19,Pelham,162,4,0
2020-05-19,Pelham Manor,102,1,0
2020-05-19,Pleasantville,115,8,1
2020-05-19,Port Chester,1169,121,6
2020-05-19,Pound Ridge,26,1,0
2020-05-19,Rye Brook,175,12,1
2020-05-19,Rye City,196,18,10
2020-05-19,Scarsdale,350,5,2
2020-05-19,Sleepy Hollow,366,32,4
2020-05-19,Somers,265,54,2
2020-05-19,Tarrytown,269,11,0
2020-05-19,Tuckahoe,128,2,0
2020-05-19,White Plains,1720,107,9
2020-05-19,Yonkers,6692,338,33
2020-05-19,Yorktown,588,37,5
2020-05-19,Totals,25852,1629,159
2020-05-19,Unknown,1543,NA,NA
2020-05-20,Bedford,234,13,2
2020-05-20,Briarcliff Manor,91,6,1
2020-05-20,Bronxville,62,0,0
2020-05-20,Buchanan,34,2,0
2020-05-20,Cortlandt,770,56,6
2020-05-20,CrotononHudson =,167,11,2
2020-05-20,Dobbs Ferry,293,35,0
2020-05-20,Eastchester,443,22,0
2020-05-20,Elmsford,196,19,0
2020-05-20,Greenburgh,1094,35,0
2020-05-20,Harrison,385,25,0
2020-05-20,Hastings-on-Hudson,114,4,0
2020-05-20,Irvington,78,2,0
2020-05-20,Larchmont,64,3,0
2020-05-20,Lewisboro,95,2,0
2020-05-20,MamaroneckTown,166,3,0
2020-05-20,Mamaroneck Village,378,18,2
2020-05-20,Mount Kisco,271,29,0
2020-05-20,Mount Pleasant,553,21,1
2020-05-20,Mount Vernon,2611,124,5
2020-05-20,New Castle,174,9,0
2020-05-20,New Rochelle,2852,161,8
2020-05-20,North Castle,192,5,0
2020-05-20,North Salem,121,8,3
2020-05-20,Ossining Town,149,5,1
2020-05-20,Ossining Village,1017,56,4
2020-05-20,Peekskill,883,105,14
2020-05-20,Pelham,162,3,0
2020-05-20,Pelham Manor,102,1,0
2020-05-20,Pleasantville,115,8,0
2020-05-20,Port Chester,1170,101,1
2020-05-20,Pound Ridge,26,0,0
2020-05-20,Rye Brook,176,13,1
2020-05-20,Rye City,198,19,2
2020-05-20,Scarsdale,350,5,0
2020-05-20,Sleepy Hollow,366,28,0
2020-05-20,Somers,298,81,33
2020-05-20,Tarrytown,270,11,1
2020-05-20,Tuckahoe,128,2,0
2020-05-20,White Plains,1723,95,3
2020-05-20,Yonkers,6705,302,13
2020-05-20,Yorktown,600,46,12
2020-05-20,Totals,25967,1500,115
2020-05-20,Unknown,1573,NA,NA
2020-05-21,Ardsley,92,7,4
2020-05-21,Bedford,232,11,0
2020-05-21,Briarcliff Manor,92,6,2
2020-05-21,Bronxville,62,0,0
2020-05-21,Buchanan,33,1,0
2020-05-21,Cortlandt,762,47,0
2020-05-21,Croton-on-Hudson,166,10,0
2020-05-21,Dobbs Ferry,293,35,0
2020-05-21,Eastchester,439,15,1
2020-05-21,Elmsford,193,13,1
2020-05-21,Greenburgh,1085,30,1
2020-05-21,Harrison,383,18,1
2020-05-21,Hastings-on-Hudson,115,5,1
2020-05-21,Irvington,78,2,NA
2020-05-21,Larchmont,64,0,0
2020-05-21,Lewisboro,94,1,0
2020-05-21,Mamaroneck Town,165,3,0
2020-05-21,Mamaroneck Village,373,11,0
2020-05-21,Mount Kisco,266,22,0
2020-05-21,Mount Pleasant,549,17,0
2020-05-21,Mount Vernon,2580,99,3
2020-05-21,New Castle,174,9,0
2020-05-21,New Rochelle,2818,127,1
2020-05-21,North Castle,191,4,0
2020-05-21,North Salem,124,11,4
2020-05-21,Ossining Town,147,2,0
2020-05-21,Ossining Village,1002,44,1
2020-05-21,Peekskill,873,88,1
2020-05-21,Pelham,157,1,0
2020-05-21,Pelham Manor,102,1,NA
2020-05-21,Pleasantville,115,8,0
2020-05-21,Port Chester,1163,91,1
2020-05-21,Pound Ridge,26,0,0
2020-05-21,Rye Brook,173,12,0
2020-05-21,Rye City,198,17,1
2020-05-21,Scarsdale,347,4,0
2020-05-21,Sleepy Hollow,362,22,1
