date,metric,value
2020-08-08,total_cases,36179
2020-08-08,total_deaths,1447
2020-08-08,new_cases,44
2020-08-08,new_deaths,0
2020-08-09,total_cases,36204
2020-08-09,total_deaths,1447
2020-08-09,new_cases,25
2020-08-09,new_deaths,0
2020-08-10,total_cases,36232
2020-08-10,total_deaths,1447
2020-08-10,new_cases,28
2020-08-10,new_deaths,0
2020-08-11,total_cases,36271
2020-08-11,total_deaths,1447
2020-08-11,new_cases,39
2020-08-11,new_deaths,0
2020-08-12,total_cases,36323
2020-08-12,total_deaths,1447
2020-08-12,new_cases,52
2020-08-12,new_deaths,0
2020-08-13,total_cases,36356
2020-08-13,total_deaths,1447
2020-08-13,new_cases,33
2020-08-13,new_deaths,0
2020-08-14,total_cases,36401
2020-08-14,total_deaths,1447
2020-08-14,new_cases,45
2020-08-14,new_deaths,0
2020-08-15,total_cases,36434
2020-08-15,total_deaths,1447
2020-08-15,new_cases,33
2020-08-15,new_deaths,0
2020-08-16,total_cases,36452
2020-08-16,total_deaths,1447
2020-08-16,new_cases,18
2020-08-16,new_deaths,0
2020-08-17,total_cases,36485
2020-08-17,total_deaths,1448
2020-08-17,new_cases,33
2020-08-17,new_deaths,1
2020-08-18,total_cases,36539
2020-08-18,total_deaths,1448
2020-08-18,new_cases,54
2020-08-18,new_deaths,0
2020-08-19,total_cases,36562
2020-08-19,total_deaths,1449
2020-08-19,new_cases,23
2020-08-19,new_deaths,1
2020-08-20,total_cases,36585
2020-08-20,total_deaths,1449
2020-08-20,new_cases,23
2020-08-20,new_deaths,0
2020-08-21,total_cases,36620
2020-08-21,total_deaths,1449
2020-08-21,new_cases,35
2020-08-21,new_deaths,0
2020-08-22,total_cases,36650
2020-08-22,total_deaths,1449
2020-08-22,new_cases,30
2020-08-22,new_deaths,0
2020-08-23,total_cases,36688
2020-08-23,total_deaths,1449
2020-08-23,new_cases,38
2020-08-23,new_deaths,0
2020-08-24,total_cases,36709
2020-08-24,total_deaths,1449
2020-08-24,new_cases,21
2020-08-24,new_deaths,0
2020-08-25,total_cases,36741
2020-08-25,total_deaths,1449
2020-08-25,new_cases,32
2020-08-25,new_deaths,0
2020-08-26,total_cases,36779
2020-08-26,total_deaths,1449
2020-08-26,new_cases,38
2020-08-26,new_deaths,0
2020-08-27,total_cases,36824
2020-08-27,total_deaths,1450
2020-08-27,new_cases,45
2020-08-27,new_deaths,1
2020-08-28,total_cases,36862
2020-08-28,total_deaths,1450
2020-08-28,new_cases,38
2020-08-28,new_deaths,0
2020-08-29,total_cases,36894
2020-08-29,total_deaths,1450
