date,municipality,total_cases,active_cases,new_cases
2020-05-12,Briarcliff Manor,85,8,0
2020-05-12,Bronxville,62,2,0
2020-05-12,Buchanan,34,2,0
2020-05-12,Cortlandt,725,109,8
2020-05-12,Croton-on-Hudson,152,7,2
2020-05-12,Dobbs Ferry,293,56,1
2020-05-12,Eastchester,432,30,1
2020-05-12,Elmsford,191,36,0
2020-05-12,Greenburgh,1070,84,3
2020-05-12,Harrison,373,32,2
2020-05-12,Hastings-on-Hudson,110,3,0
2020-05-12,Irvington,77,7,0
2020-05-12,Larchmont,64,4,2
2020-05-12,Lewisboro,93,16,0
2020-05-12,Mamaroneck Town,164,11,0
2020-05-12,Mamaroneck Village,365,42,3
2020-05-12,Mount Kisco,251,40,0
2020-05-12,Mount Pleasant,536,29,0
2020-05-12,Mount Vernon,2545,223,18
2020-05-12,New Castle,167,8,0
2020-05-12,New Rochelle,2760,221,15
2020-05-12,North Castle,187,15,2
2020-05-12,North Salem,115,26,3
2020-05-12,Ossining Town,144,9,NA
2020-05-12,Ossining Village,981,108,6
2020-05-12,Peekskill,812,149,8
2020-05-12,Pelham,162,9,0
2020-05-12,Pelham Manor,102,1,0
2020-05-12,Pleasantville,108,6,0
2020-05-12,Port Chester,1099,164,8
2020-05-12,Pound Ridge,25,1,0
2020-05-12,Rye Brook,171,16,2
2020-05-12,Rye City,185,11,1
2020-05-12,Scarsdale,345,6,0
2020-05-12,Sleepy Hollow,350,34,4
2020-05-12,Somers,224,41,4
2020-05-12,Tarrytown,268,24,1
2020-05-12,Tuckahoe,127,7,0
2020-05-12,White Plains,1667,183,8
2020-05-12,Yonkers,6522,570,38
2020-05-12,Yorktown,564,33,4
2020-05-12,Totals,25021,2411,147
2020-05-13,Ardsley,89,5,1
2020-05-13,Bedford,229,24,3
2020-05-13,Briarcliff Manor,88,10,3
2020-05-13,Bronxville,62,2,0
2020-05-13,Buchanan,34,2,0
2020-05-13,Cortlandt,736,105,11
2020-05-13,Croton-on-Hudson,156,9,4
2020-05-13,Dobbs Ferry,293,51,0
2020-05-13,Eastchester,434,30,2
2020-05-13,Elmsford,189,29,0
2020-05-13,Greenburgh,1072,75,2
2020-05-13,Harrison,376,28,3
2020-05-13,Hastings-on-Hudson,110,2,0
2020-05-13,Irvington,77,5,0
2020-05-13,Larchmont,64,4,0
2020-05-13,Lewisboro,93,12,0
2020-05-13,Mamaroneck Town,165,10,1
2020-05-13,Mamaroneck Village,369,42,4
2020-05-13,Mount Kisco,252,38,1
2020-05-13,Mount Pleasant,541,27,5
2020-05-13,Mount Vernon,2558,209,13
2020-05-13,New Castle,167,7,0
2020-05-13,New Rochelle,2785,218,25
2020-05-13,North Castle,188,14,1
2020-05-13,North Salem,115,23,0
2020-05-13,Ossining Town,146,9,2
2020-05-13,Ossining Village,984,98,3
2020-05-13,Peekskill,825,141,13
2020-05-13,Pelham,162,9,0
2020-05-13,Pelham Manor,102,1,0
2020-05-13,Pleasantville,109,7,1
2020-05-13,Port Chester,1113,151,14
2020-05-13,Pound Ridge,26,2,1
2020-05-13,Rye Brook,171,5,0
2020-05-13,Rye City,185,11,0
2020-05-13,Scarsdale,347,5,2
